DrawNo,DrawDate,1stPrizeNo,2ndPrizeNo,3rdPrizeNo
040792,19920506,26094,21292,47699
040892,19920507,96569,66577,55437
040992,19920510,11138,31301,62228
041092,19920513,87641,37013,16004
041192,19920514,22747,28770,52817
041292,19920517,94534,46140,13475
041392,19920520,20589,92972,19257
041492,19920521,33725,73275,79733
041592,19920524,50325,63569,19708
041692,19920527,66823,63818,92290
041792,19920528,13420,32513,37812
041892,19920531,67420,49868,22119
041992,19920603,64930,50922,30940
042092,19920604,11128,84405,17879
042192,19920607,49254,91044,24563
042292,19920610,62065,47112,11188
042392,19920611,62688,14149,05935
042492,19920614,20661,90304,52494
042592,19920617,05443,92129,19552
042692,19920618,24458,93395,55147
042792,19920621,15261,52075,24657
042892,19920624,32707,29963,03849
042992,19920625,20199,11526,09470
043092,19920628,40253,16410,41800
043192,19920701,65378,78270,11512
043292,19920702,54130,81917,20975
043392,19920705,74871,43904,06576
043492,19920708,20383,01314,47474
043592,19920709,15165,69360,69348
043692,19920712,87085,91267,79930
043792,19920715,25617,42028,84438
043892,19920716,57149,51245,01087
043992,19920719,78456,92844,45193
044092,19920722,30456,53075,03795
044192,19920723,16316,49959,04042
044292,19920726,53717,42798,05780
044392,19920729,26285,48872,28051
044492,19920730,62170,25232,20575
044592,19920802,48730,80874,52723
044692,19920805,37072,69337,08836
044792,19920806,53016,91876,18872
044892,19920809,06721,22808,40704
044992,19920812,47437,56707,96356
045092,19920813,97445,28559,18619
045192,19920816,73194,32484,87780
045292,19920819,01091,04560,24745
045392,19920820,80645,69886,35177
045492,19920823,01164,79820,93591
045592,19920826,57251,53624,95813
045692,19920827,17851,97062,62692
045792,19920830,84026,42064,83455
045892,19920902,34648,14279,27762
045992,19920903,05605,62141,25353
046092,19920906,20835,51039,44487
046192,19920909,69663,43568,05412
046292,19920910,71028,66711,25354
046392,19920913,66036,65780,51972
046492,19920916,79477,16064,16249
046592,19920917,85428,60494,57939
046692,19920920,94260,75478,46567
046792,19920923,44922,80218,85800
046892,19920924,54964,00893,84533
046992,19920927,95209,46971,41505
047092,19920930,31000,73228,14206
047192,19921001,06953,57435,21442
047292,19921004,24166,27648,47978
047392,19921007,81036,41039,22658
047492,19921008,09516,71940,11967
047592,19921011,84095,66091,54539
047692,19921014,97088,99026,51984
047792,19921015,36463,51230,04895
047892,19921018,89278,00324,12532
047992,19921021,49362,36686,39423
048092,19921022,07639,06584,64496
048192,19921025,76320,81060,31058
048292,19921028,26363,07733,26482
048392,19921029,39844,05882,90556
048492,19921101,01622,06714,62765
048592,19921104,23810,61491,34872
