DrawNo,DrawDate,1stPrizeNo
040792,19920506,893424
040892,19920507,475380
040992,19920510,371000
041092,19920513,969992
041192,19920514,397076
041292,19920517,081095
041392,19920520,470903
041492,19920521,723253
041592,19920524,638185
041692,19920527,622478
041792,19920528,539784
041892,19920531,260384
041992,19920603,131313
042092,19920604,582829
042192,19920607,020425
042292,19920610,351472
042392,19920611,479237
042492,19920614,743754
042592,19920617,749989
042692,19920618,812301
042792,19920621,624315
042892,19920624,467998
042992,19920625,968858
043092,19920628,936544
043192,19920701,097820
043292,19920702,574451
043392,19920705,719053
043492,19920708,227000
043592,19920709,454321
043692,19920712,197429
043792,19920715,082794
043892,19920716,132017
043992,19920719,065372
044092,19920722,548805
044192,19920723,008146
044292,19920726,421034
044392,19920729,576900
044492,19920730,900005
044592,19920802,459329
044692,19920805,725947
044792,19920806,169226
044892,19920809,463114
044992,19920812,663556
045092,19920813,943497
045192,19920816,145411
045292,19920819,187374
045392,19920820,213327
045492,19920823,479137
045592,19920826,174247
045692,19920827,678737
045792,19920830,690135
045892,19920902,493438
045992,19920903,936052
046092,19920906,789096
046192,19920909,764601
046292,19920910,140918
046392,19920913,499465
046492,19920916,100436
046592,19920917,275995
046692,19920920,252490
046792,19920923,797990
046892,19920924,372989
046992,19920927,510949
047092,19920930,337781
047192,19921001,872127
047292,19921004,153807
047392,19921007,963030
047492,19921008,261847
047592,19921011,212251
047692,19921014,213819
047792,19921015,246668
047892,19921018,502117
047992,19921021,035427
048092,19921022,744840
048192,19921025,979212
048292,19921028,510235
048392,19921029,613537
048492,19921101,619719
048592,19921104,152322
048692,19921105,069749
048792,19921108,355400
048892,19921111,242406
048992,19921112,934283
049092,19921115,436583
049192,19921118,555354
049292,19921119,577397
049392,19921122,862238
049492,19921125,634759
049592,19921126,690051
049692,19921129,884357
049792,19921202,266389
049892,19921203,055186
049992,19921206,031385
050092,19921209,078001
050192,19921210,008508
050292,19921213,947220
050392,19921216,474164
050492,19921217,401188
050592,19921220,329987
050692,19921223,670889
050792,19921224,101256
050892,19921227,470346
050992,19921230,176964
051092,19921231,842603
051193,19930103,595365
051293,19930106,731089
051393,19930107,863271
051493,19930110,929429
051593,19930113,426827
051693,19930114,982883
051793,19930117,673255
051893,19930120,956131
051993,19930121,751377
052093,19930124,225101
052193,19930127,455634
052293,19930128,202578
052393,19930131,959101
052493,19930203,693728
052593,19930204,795908
052693,19930207,488785
052793,19930210,423464
052893,19930211,769594
052993,19930214,707261
053093,19930217,788214
053193,19930218,424762
053293,19930221,142821
053393,19930224,675095
053493,19930225,106947
053593,19930228,789789
053693,19930303,418296
053793,19930304,875058
053893,19930307,021362
053993,19930310,255284
054093,19930311,814385
054193,19930314,050616
054293,19930317,766998
054393,19930318,368576
054493,19930321,679875
054593,19930324,972639
054693,19930325,727922
054793,19930328,569669
054893,19930331,833340
054993,19930401,920679
055093,19930404,087633
055193,19930407,160213
055293,19930408,467846
055393,19930411,725839
055493,19930414,399909
055593,19930415,942535
055693,19930418,364552
055793,19930421,970473
055893,19930422,571304
055993,19930425,038624
056093,19930428,117163
056193,19930429,598303
056293,19930502,629315
056393,19930505,889111
056493,19930506,854248
056593,19930509,745079
056693,19930512,399697
056793,19930513,101572
056893,19930516,587888
056993,19930519,646261
057093,19930520,915414
057193,19930523,767661
057293,19930526,536034
057393,19930527,105881
057493,19930530,120959
057593,19930602,001249
057693,19930603,145946
057793,19930606,936664
057893,19930609,207401
057993,19930610,397469
058093,19930613,975556
058193,19930616,525338
058293,19930617,133152
058393,19930620,903219
058493,19930623,619411
058593,19930624,233582
058693,19930627,834664
058793,19930630,637682
058893,19930701,177363
058993,19930704,687037
059093,19930707,208474
059193,19930708,388549
059293,19930711,313325
059393,19930714,121296
059493,19930715,835593
059593,19930718,866152
059693,19930721,667318
059793,19930722,160327
059893,19930725,166472
059993,19930728,757570
060093,19930729,484166
060193,19930801,984416
060293,19930804,964819
060393,19930805,185184
060493,19930808,752096
060593,19930811,944435
060693,19930812,464623
060793,19930815,437005
060893,19930818,952369
060993,19930819,618901
061093,19930822,843577
061193,19930825,273303
061293,19930826,818061
061393,19930829,220169
061493,19930901,107134
061593,19930902,699363
061693,19930905,686300
061793,19930908,807959
061893,19930909,139877
061993,19930912,963341
062093,19930915,756580
062193,19930916,415919
062293,19930919,690662
062393,19930922,942982
062493,19930923,372123
062593,19930926,983702
062693,19930929,629099
062793,19930930,873199
062893,19931003,964221
062993,19931006,364609
063093,19931007,752838
063193,19931010,916640
063293,19931013,050622
063393,19931014,099279
063493,19931017,900170
063593,19931020,503135
063693,19931021,181441
063793,19931024,405482
063893,19931027,799258
063993,19931028,428989
064093,19931031,267292
064193,19931103,266744
064293,19931104,884149
064393,19931107,665364
064493,19931110,849038
064593,19931111,590887
064693,19931114,750157
064793,19931117,544417
064893,19931118,887625
064993,19931121,690240
065093,19931124,967408
065193,19931125,595345
065293,19931128,517069
065393,19931201,922216
065493,19931202,412056
065593,19931205,486053
065693,19931208,314089
065793,19931209,839564
065893,19931212,348605
065993,19931215,860404
066093,19931216,270764
066193,19931219,825613
066293,19931222,984561
066393,19931223,216618
066493,19931226,494859
066593,19931229,883035
066693,19931230,164077
066794,19940102,952100
066894,19940105,974681
066994,19940106,186917
067094,19940109,374111
067194,19940112,994137
067294,19940113,656475
067394,19940116,282938
067494,19940119,800851
067594,19940120,065831
067694,19940123,919127
067794,19940126,661395
067894,19940127,079304
067994,19940130,655172
068094,19940202,487978
068194,19940203,361009
068294,19940206,136683
068394,19940209,634162
068494,19940210,363702
068594,19940213,755428
068694,19940216,965135
068794,19940217,038779
